"","MouseID","min.sec.csec","Trial","Trial.start.time","Notes","Cohort","Sincerity_Score","Sincerity_Score_Relaxed","SLC_Genotype","ASO_Tg","Sex","min","sec","csec","Time","Weight","Exclusion"
"1","670_842","1.40.65","One","11:51",":)","Two","Sincere","Sincere","HET","Positive","Female",1,40,65,100.65,29.5,"No"
"2","610","1.50.35","One","11:15",":)","Two","Sincere","Sincere","MUT","Positive","Female",1,50,35,110.35,35.7,"No"
"3","853","0.06.48","One","11:57",":)","Two","Sincere","Sincere","MUT","Positive","Male",0,6,48,6.48,36.1,"No"
"4","544","3.61","One","",":)","One","Sincere","Sincere","HET","Positive","Female",0,3,61,3.61,46.8,"No"
"5","339","6.14","One","2:29",":)","One","Sincere","Sincere","HET","Negative","Male",0,6,14,6.14,37,"No"
"6","340","6.23","One","2:36",":)","One","Sincere","Sincere","HET","Positive","Male",0,6,23,6.23,45.4,"No"
"7","333","7","One","2:45",":)","One","Sincere","Sincere","HET","Negative","Male",0,7,NA,7,48.2,"No"
"8","670","11.48","Two","",":)","One","Sincere","Sincere","WT","Negative","Female",0,11,48,11.48,37.3,"No"
"9","40","00.11.83","Two","","","Three","Sincere","Sincere","WT","Negative","Male",0,11,83,11.83,47.4,"No"
"10","334","24.91","One","",":)","One","Sincere","Sincere","HET","Positive","Male",0,24,91,24.91,37.7,"No"
"11","663","27.61","One","2:08",":)","One","Sincere","Sincere","WT","Positive","Male",0,27,61,27.61,43.2,"No"
"12","667","46.95","Two","",":)","One","Sincere","Sincere","MUT","Positive","Female",0,46,95,46.95,25.3,"No"
"13","332_666","52.55","One","2:12","fell b/c climbed on hand","One","Unsure","Sincere","MUT","Negative","Female",0,52,55,52.55,31.3,"No"
"14","672","2.30.00","Two","12:30",":)","Two","Sincere","Sincere","HET","Negative","Male",2,30,0,150,28.3,"No"
"15","536","0.10.48","One","2:42",":)","One","Sincere","Sincere","HET","Positive","Male",0,10,48,10.48,41.4,"No"
"16","962","00.28.01","One","","","Three","Sincere","Sincere","WT","Positive","Female",0,28,1,28.01,22.7,"No"
"17","611","0.20.50","One","11:19",":)","Two","Sincere","Sincere","MUT","Negative","Female",0,20,50,20.5,26.6,"No"
"18","45","02.06.97","One","","","Three","Sincere","Sincere","MUT","Negative","Female",2,6,97,126.97,27.1,"No"
"19","35","01.42.59","One","","","Three","Sincere","Sincere","WT","Positive","Female",1,42,59,102.59,28.1,"No"
"20","36","00.06.83","One","2:53","","Three","Sincere","Sincere","HET","Negative","Male",0,6,83,6.83,29,"No"
