feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz	-0.811487942930421	-1.31648604783454	-6.22136626856155	-8.73647766002873	-8.67328383354154	-6.57374815999063	-14.408550887516
Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz	-0.522506070388636	-1.76664060207723	-6.92109708810679	-10.9210970881068	-9.7284520101644	-14.2259605272362	-14.408550887516
Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz	-1.25677438922198	-0.801795244767985	-9.068857292967	-12.1563201342173	-7.85253938604023	-9.40143263205387	-14.408550887516
Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz	-0.846660126305667	-1.21333854873904	-6.87676648302517	-13.4564827630503	-9.23431848764326	-8.6493559869221	-14.408550887516
Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz	-0.920085491370508	-1.10334246608001	-11.3604356105711	-12.3604356105711	-8.2311525936261	-8.83687365451406	-14.408550887516
Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz	-1.044080498117	-1.00486736987198	-8.7870265819158	-10.9746535850916	-7.57472297820293	-6.87779204583898	-12.1445785865339
Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz	-0.975984896732547	-1.08890050458893	-6.8910536360904	-11.0949259694561	-7.41042779518398	-7.21578036433044	-14.408550887516
Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz	-0.331540253535647	-2.39087207781811	-7.45991372224776	-13.4564827630503	-9.04487622296892	-8.96241406277695	-7.62454442402056
Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz	-0.806177269435694	-1.25940090929422	-9.73197893663243	-10.4424723194374	-8.06901392391	-8.12054422455008	-9.73197893663243
Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz	-0.881655007878507	-1.21686680764445	-6.80899621352119	-10.8736491718634	-6.7861863306131	-7.42298776285388	-8.53261225402838
Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz	-0.932026217280021	-1.1747650550145	-6.53813110409714	-6.96918092136461	-6.83402133808297	-7.52860832997863	-14.408550887516
Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz	-0.811007356719894	-1.36611803034616	-7.59036502607653	-7.60264335585497	-6.5014645214876	-5.59342482582559	-14.408550887516
Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz	-0.807510931253851	-1.31280495701218	-6.10167670047004	-8.11603199344711	-9.58996318177952	-7.23632622716482	-14.408550887516
Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz	-1.2206389407422	-0.878058958396202	-6.38046583288662	-7.39965939811993	-7.81469689739877	-8.11955147892719	-10.2070143201775
Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz	-1.6869883790314	-0.599141435890918	-9.74995761438553	-5.74521969537886	-7.45872631672108	-8.04368881744224	-14.408550887516
Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz	-1.53060032018694	-0.732234181356591	-5.48479663057382	-5.27771863071404	-9.93796925873943	-8.49739666735345	-14.408550887516
Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz	-1.41667362971347	-0.869812595812725	-7.87819028335521	-4.01569380710515	-7.65954999687987	-7.12039118577184	-14.408550887516
Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz	-0.367051615794362	-2.20929676372476	-7.80006488612713	-13.4564827630503	-8.39670919189592	-11.4323331016266	-10.754261196514
Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz	-1.37227780965003	-0.77081614813383	-7.77948486590422	-10.9087678828492	-5.7438609561735	-8.10141296079158	-11.9087678828492
Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz	-1.47271310835895	-0.706628895547891	-8.79072860347019	-10.3756911041914	-5.68081091139216	-7.81497614971687	-14.408550887516
Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz	-0.776516962156384	-1.33989025978153	-6.83851384449567	-11.6146178325688	-8.89215180809774	-6.73687358261983	-10.6146178325688
Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz	-0.586286681668538	-1.74433758282256	-5.4380357230846	-13.4564827630503	-8.72754234027958	-6.71424551766612	-10.8974673417219
Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz	-0.983083506127597	-1.08132427971399	-10.0781508077346	-8.83022329429106	-7.27079588567705	-6.39165028055143	-14.408550887516
Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz	-1.25937908409223	-0.859319865541855	-7.43437927249532	-7.39194400617492	-8.29101509732414	-5.95357400306545	-14.408550887516
Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz	-1.03567371450999	-1.16594617953674	-8.97665750878691	-4.10361468366207	-8.54602315445705	-8.07395471014183	-14.408550887516
Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz	-0.627964817004833	-1.5403691737071	-7.45578384162215	-13.4564827630503	-8.19274943578836	-14.2259605272362	-14.408550887516
Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz	-0.323100055213476	-2.38606712609534	-7.19442218340332	-13.4564827630503	-9.07356778852894	-10.5589946156992	-14.408550887516
Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz	-0.770794879685896	-1.30492936705341	-8.8851879345532	-10.4701504352744	-7.58750738591252	-9.76971071713327	-14.408550887516
Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz	-0.751999454113916	-1.61853818814306	-7.19747690123645	-3.90296426392949	-9.08330588131714	-7.62958791387424	-14.408550887516
Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz	-0.831997776506297	-1.2124697737948	-8.39704155120151	-11.4267888945956	-8.8418263938744	-9.68982330042935	-14.408550887516
Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz	-0.81111825535986	-1.23004239178628	-8.91940509457332	-13.4564827630503	-9.2089117117683	-14.2259605272362	-14.408550887516
Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz	-1.11297132314674	-1.0029344949589	-8.99181502711804	-13.4564827630503	-6.95497825893766	-5.13555050457949	-12.2648335215245
Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz	-0.597918900077901	-1.59655979018851	-7.45648276305027	-12.4564827630503	-9.64912784099267	-9.36901992179993	-14.408550887516
Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz	-1.1806946906179	-0.905441378971449	-5.87108987418067	-13.4564827630503	-7.98280026167769	-8.16500359289844	-11.0580883889819
Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz	-0.934361458706616	-1.12051747473029	-6.93279245905128	-10.970927587938	-8.07784279185456	-7.97092758793805	-11.1933200092745
