feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Genotype	HET	0.959281156766037	0.250500216415191	24	24	0.000976025285539378	0.130638474922966
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.FCS020.group	Genotype	MUT	2.85899286062346	0.834483970915565	24	22	0.00253784459185903	0.130638474922966
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Genotype	MUT	1.52210926556142	0.452254441964866	24	24	0.0029247419758873	0.130638474922966
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Genotype	MUT	1.23425757931788	0.38815605450334	24	23	0.00450990672324705	0.151081875228776
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	Genotype	HET	2.22785837559485	0.786027650409033	24	15	0.00993349051739074	0.266217545866072
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	Genotype	MUT	-2.80431799834931	1.14180225378262	24	19	0.0228412782123066	0.285674600638304
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Genotype	HET	-0.228360934178069	0.0902092964859393	24	24	0.0194101505003135	0.285674600638304
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Genotype	MUT	0.997522432436702	0.426136155380533	24	24	0.0291859097736355	0.285674600638304
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	Genotype	MUT	2.11721600087323	0.958191392203217	24	17	0.0383742000857423	0.285674600638304
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	Genotype	MUT	-2.46821337809144	1.07966524173208	24	24	0.0327411152909317	0.285674600638304
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Genotype	MUT	0.91818476074935	0.399765772000434	24	7	0.0320156014806958	0.285674600638304
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Genotype	HET	1.11151753680783	0.487715099425387	24	23	0.0332274084141786	0.285674600638304
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Genotype	HET	1.0652563196448	0.436065107246015	24	24	0.0234951977967872	0.285674600638304
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Genotype	HET	1.22081262246626	0.50950752044022	24	24	0.025965084488658	0.285674600638304
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Genotype	HET	1.37243620922968	0.614719557014625	24	23	0.036591892239905	0.285674600638304
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Genotype	HET	1.12819528922753	0.505770518995427	24	22	0.0367417580843715	0.285674600638304
