"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz"	"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz"	"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz"	"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz"	"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz"	"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz"	"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz"
"k__Bacteria;p__Bacillota"	7641	5558	8783	7784	8754	12962	5081	4847	10714	4787	4375	4841	5652	6651	6071	6826	7352	8357	6934	8115	5527	14512	3786	5443	6820	7901	11303	9411	5958	5390	6286	5842
"k__Bacteria;p__Bacteroidota"	10474	4895	9025	7198	6394	8822	10800	7081	2988	8141	4087	6388	5164	4593	4541	7367	6462	8318	8406	6719	8563	17434	5335	3076	6630	9556	5020	11421	5374	5246	7328	7880
"k__Bacteria;p__Thermodesulfobacteriota"	34	4	41	129	18	118	19	55	62	30	8	67	23	24	22	29	115	203	92	41	72	302	12	110	1282	35	78	212	32	65	52	41
"k__Bacteria;p__Verrucomicrobiota"	4	2	9	7	11	117	305	800	0	10	19	69	674	8	0	0	7	4	81	10	79	43	12	5	31	525	6	0	0	0	11	9
"k__Bacteria;p__Pseudomonadota"	79	35	95	90	57	251	93	64	41	259	56	37	31	59	18	119	52	135	94	51	175	77	27	34	67	117	54	103	115	34	111	85
"k__Bacteria;p__Actinomycetota"	27	23	154	103	55	471	62	93	5	59	103	187	43	13	0	420	56	85	230	18	44	250	52	9	134	147	89	47	72	81	67	53
"k__Bacteria;p__Cyanobacteriota"	0	0	4	0	18	0	0	0	8	0	0	0	0	0	0	3	6	0	0	0	0	3	0	0	0	0	0	4	0	0	0	7
"k__;p__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Patescibacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
