feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.331.JEJ_S219_L001_R1_001_F_filt.fastq.gz	14749	7747	1002	15	296	670	4
Julianne.536.JEJ_S211_L001_R1_001_F_filt.fastq.gz	14610	0	0	3	2	2643	0
Julianne.547.JEJ_S206_L001_R1_001_F_filt.fastq.gz	13857	2476	256	0	50	26	0
Julianne.579.JEJ_S207_L001_R1_001_F_filt.fastq.gz	14725	1941	41	5	19	143	0
Julianne.604.JEJ_S208_L001_R1_001_F_filt.fastq.gz	10815	6619	810	6	168	235	4
Julianne.719.JEJ_S218_L001_R1_001_F_filt.fastq.gz	5227	4580	189	9	16	10	0
Julianne.856.JEJ_S200_L001_R1_001_F_filt.fastq.gz	19178	5948	474	5	166	105	0
Julianne.891.JEJ_S193_L001_R1_001_F_filt.fastq.gz	19242	6178	125	5	308	103	0
Rep1.Julianne.337.JEJ_S134_L001_R1_001_F_filt.fastq.gz	15216	3013	47	6	67	37	2
Rep1.Julianne.351.JEJ_S150_L001_R1_001_F_filt.fastq.gz	10483	8563	704	4	52	91	2
Rep1.Julianne.544.JEJ_S178_L001_R1_001_F_filt.fastq.gz	8091	3131	440	0	78	198	0
Rep1.Julianne.582.JEJ_S142_L001_R1_001_F_filt.fastq.gz	19157	2046	89	0	106	1852	0
Rep1.Julianne.716.JEJ_S110_L001_R1_001_F_filt.fastq.gz	8737	5822	534	48	148	197	0
Rep1.Julianne.872.JEJ_S101_L001_R1_001_F_filt.fastq.gz	21453	29	28	0	0	0	0
Julianne.542.JEJ_S205_L001_R1_001_F_filt.fastq.gz	19484	1267	31	0	34	0	5
Julianne.661.JEJ_S212_L001_R1_001_F_filt.fastq.gz	12266	4436	361	0	5	2237	0
Julianne.665.JEJ_S210_L001_R1_001_F_filt.fastq.gz	24384	403	0	0	70	123	4
Julianne.667.JEJ_S209_L001_R1_001_F_filt.fastq.gz	13269	5998	220	5	26	190	0
Julianne.835.JEJ_S198_L001_R1_001_F_filt.fastq.gz	8268	4879	381	0	68	39	0
Julianne.882.JEJ_S199_L001_R1_001_F_filt.fastq.gz	23363	195	6	0	80	3	0
Julianne.899.JEJ_S194_L001_R1_001_F_filt.fastq.gz	37695	620	9	0	43	43	0
Rep1.Julianne.717.JEJ_S102_L001_R1_001_F_filt.fastq.gz	10974	4839	1071	0	34	114	0
Rep1.Julianne.840.JEJ_S177_L001_R1_001_F_filt.fastq.gz	10415	6728	933	91	50	229	7
Rep1.Julianne.841.JEJ_S104_L001_R1_001_F_filt.fastq.gz	8644	7498	322	470	99	59	0
Rep1.Julianne.853.JEJ_S120_L001_R1_001_F_filt.fastq.gz	14417	3566	74	82	38	8	0
Julianne.838.JEJ_S277_L001_R1_001_F_filt.fastq.gz	7408	3237	174	0	149	28	0
Julianne.923.JEJ_S196_L001_R1_001_F_filt.fastq.gz	9976	5507	93	0	218	10	0
Julianne.924.JEJ_S197_L001_R1_001_F_filt.fastq.gz	17836	1384	53	5	961	23	0
Julianne.962.JEJ_S195_L001_R1_001_F_filt.fastq.gz	27938	0	0	0	12	0	0
Rep1.Julianne.540.JEJ_S118_L001_R1_001_F_filt.fastq.gz	6953	8571	51	10	159	163	0
Rep1.Julianne.663.JEJ_S126_L001_R1_001_F_filt.fastq.gz	18754	5717	121	6	51	37	0
Rep1.Julianne.847.JEJ_S112_L001_R1_001_F_filt.fastq.gz	10596	4707	296	658	129	93	2
Rep1.Julianne.858.JEJ_S164_L001_R1_001_F_filt.fastq.gz	16863	2820	1967	0	24	555	0
