feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacillota	Genotype	MUT	-0.0544932857169334	0.0959087562268728	65	65	0.571965946020284	0.865629357588785
k__Bacteria.p__Bacteroidota	Genotype	HET	-0.117632998265988	0.115558166655221	65	65	0.312655344610901	0.865629357588785
k__Bacteria.p__Bacteroidota	Genotype	MUT	0.055174761818995	0.122832956977229	65	65	0.654864247655728	0.865629357588785
k__Bacteria.p__Thermodesulfobacteriota	Genotype	HET	-0.481422826685304	0.446903925351805	65	65	0.285546706166436	0.865629357588785
k__Bacteria.p__Verrucomicrobiota	Genotype	HET	1.53638285650952	0.858482972557647	65	48	0.0783942483626088	0.865629357588785
k__Bacteria.p__Verrucomicrobiota	Genotype	MUT	0.454865037483785	0.912527475002935	65	48	0.619918571024742	0.865629357588785
k__Bacteria.p__Pseudomonadota	Genotype	HET	-0.375720299196502	0.300576647211692	65	65	0.21599788653589	0.865629357588785
k__Bacteria.p__Pseudomonadota	Genotype	MUT	-0.277153561844786	0.319498997292594	65	65	0.389033477688989	0.865629357588785
k__Bacteria.p__Actinomycetota	Genotype	HET	-0.361847944149863	0.49752926182739	65	62	0.469785934507412	0.865629357588785
k__Bacteria.p__Actinomycetota	Genotype	MUT	-0.174903573376659	0.528850467101065	65	62	0.741968020790387	0.865629357588785
k__Bacteria.p__Cyanobacteriota	Genotype	HET	0.627771682010681	0.559871344788865	65	19	0.266493543755056	0.865629357588785
k__Bacteria.p__Cyanobacteriota	Genotype	MUT	0.211540872309011	0.595117201992465	65	19	0.723450874963907	0.865629357588785
k__Bacteria.p__Bacillota	Genotype	HET	0.0173645964242069	0.0902285535454016	65	65	0.848017753968359	0.913249888889002
k__Bacteria.p__Thermodesulfobacteriota	Genotype	MUT	0.022373224953585	0.475038088822197	65	65	0.962586702757574	0.962586702757574
