feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ARGSYNBSUB.PWY	Study	PFF_Colon	-0.6085662672661	0.0888861955303894	71	71	3.03327966606333e-09	6.04633746768624e-07
CALVIN.PWY	Study	PFF_Colon	-0.28844990050712	0.0414920245024449	71	71	1.97196417469567e-09	6.04633746768624e-07
DAPLYSINESYN.PWY	Study	PFF_Colon	-0.43967691648028	0.0641386177932715	71	71	2.92948580274858e-09	6.04633746768624e-07
GLYCOCAT.PWY	Study	PFF_Colon	-0.273525720709764	0.0398034345772564	71	71	2.73511627805699e-09	6.04633746768624e-07
NAD.BIOSYNTHESIS.II	Study	PFF_Colon	-1.01585370564346	0.147292124565044	71	71	2.47000826468138e-09	6.04633746768624e-07
PWY.5188	Study	PFF_Colon	-0.930816356827285	0.134490423753652	71	71	2.2373841455682e-09	6.04633746768624e-07
PWY.5505	Study	PFF_Colon	-0.829302587035438	0.124448735838016	71	71	6.38863323157993e-09	1.09154362070994e-06
ARGSYN.PWY	Study	PFF_Colon	-0.461114991769469	0.0699505072260592	71	71	8.55286568199097e-09	1.13658081729569e-06
PWY.5189	Study	PFF_Colon	-0.958058022366832	0.145198039944255	71	71	8.337962949779e-09	1.13658081729569e-06
PWY.7400	Study	PFF_Colon	-0.454813622891984	0.0693433211142642	71	71	9.7846054190888e-09	1.17023880812302e-06
PWY.7315	Study	PFF_Colon	-1.09698387127124	0.17213428270819	71	71	2.07713080337611e-08	2.25840767348893e-06
PYRIDNUCSAL.PWY	Study	PFF_Colon	-0.55136858721472	0.0874172033352848	71	71	2.70500718681608e-08	2.69599049619336e-06
PWY.7374	Study	PFF_Colon	-1.10858068934304	0.176675638364127	71	71	3.08500464461878e-08	2.83820427304928e-06
PWY.7371	Study	PFF_Colon	-1.07439243623639	0.175220073823008	71	71	5.47604977273241e-08	4.67811109156283e-06
GLUTORN.PWY	Study	PFF_Colon	-0.554296612015465	0.0918281117811907	71	71	8.01797923677488e-08	6.30741996771782e-06
PWY.7111	Study	PFF_Colon	-0.355149072622422	0.0589612279554699	71	71	8.43802002370277e-08	6.30741996771782e-06
PWY.5104	Study	PFF_Colon	-0.396608530481365	0.0661873430926616	71	71	9.55556572543863e-08	6.72262153389682e-06
PWY.6737	Study	PFF_Colon	-0.282131569587353	0.0476906294687933	71	71	1.29428622087019e-07	8.59981288978192e-06
COBALSYN.PWY	Study	PFF_Colon	-0.678507111011019	0.116518111100007	71	71	1.86817335477345e-07	1.17596596437318e-05
PWY.6269	Study	PFF_Colon	-0.665192218836426	0.114830686439043	71	71	2.10629069664555e-07	1.25956183659404e-05
GLYCOLYSIS.E.D	Study	PFF_Colon	-1.07943618377629	0.187021732984074	71	71	2.28901164168964e-07	1.26935960884586e-05
PWY.5509	Study	PFF_Colon	-0.664924879533566	0.115304732370863	71	71	2.3349424242984e-07	1.26935960884586e-05
ILEUSYN.PWY	Study	PFF_Colon	-0.341348467194718	0.0595692825202087	71	71	2.69474598451605e-07	1.3428817489505e-05
VALSYN.PWY	Study	PFF_Colon	-0.341348467194718	0.0595692825202087	71	71	2.69474598451605e-07	1.3428817489505e-05
NONOXIPENT.PWY	Study	PFF_Colon	-0.317865376313612	0.0557448379037367	71	71	3.00981729311344e-07	1.43989659302547e-05
GOLPDLCAT.PWY	Sex	M	-2.4857361828254	0.439515469231725	71	64	3.61256132106281e-07	1.61035513153536e-05
SER.GLYSYN.PWY	Study	PFF_Colon	-0.223579440658306	0.0395434532953032	71	71	3.63541710296445e-07	1.61035513153536e-05
ARO.PWY	Study	PFF_Colon	-0.519945620708305	0.0922433092503288	71	71	3.89096821594789e-07	1.66199928081203e-05
COMPLETE.ARO.PWY	Study	PFF_Colon	-0.49518198770025	0.088435819387684	71	71	4.50280904264229e-07	1.73445663173175e-05
FASYN.ELONG.PWY	Study	PFF_Colon	0.317500898826064	0.0567815897490596	71	71	4.64068664008494e-07	1.73445663173175e-05
PWY.5101	Study	PFF_Colon	-0.353880808691173	0.0632029180017542	71	71	4.50661094767776e-07	1.73445663173175e-05
PWY.7328	Study	PFF_Colon	-0.646586275556718	0.115548094787351	71	71	4.5651264859134e-07	1.73445663173175e-05
PWY.5304	Study	PFF_Colon	-1.21058024372873	0.217421902902168	71	71	5.09109819511761e-07	1.84513740647293e-05
BRANCHED.CHAIN.AA.SYN.PWY	Study	PFF_Colon	-0.311645322734452	0.0566104875530041	71	71	6.50161664101876e-07	2.22137021791907e-05
PWY.6263	Study	PFF_Colon	-0.844482063612344	0.153417995276597	71	71	6.51752146873625e-07	2.22137021791907e-05
PWY.7003	Study	PFF_Colon	-0.737648604200376	0.134169891757089	71	71	6.68639864925473e-07	2.22137021791907e-05
PWY.5103	Study	PFF_Colon	-0.35659177316728	0.0652932029623206	71	71	7.70337910894118e-07	2.49006524710639e-05
P162.PWY	Study	PFF_Colon	-1.21834244355773	0.22432283410254	71	70	8.65910314267983e-07	2.72533877859081e-05
P441.PWY	Study	PFF_Colon	-0.806479010545801	0.149991207691498	71	71	1.06829813747056e-06	3.11630383515803e-05
POLYISOPRENSYN.PWY	Study	PFF_Colon	0.352591317964345	0.0655555558560149	71	71	1.06143909215014e-06	3.11630383515803e-05
PWY.6588	Study	PFF_Colon	-0.875498102086654	0.162570986650167	71	71	1.03388407977311e-06	3.11630383515803e-05
PWY.6163	Study	PFF_Colon	-0.455901601143025	0.0856592234584144	71	71	1.31813276065904e-06	3.75353995654335e-05
PWY.7228	Study	PFF_Colon	0.551108319887317	0.105073424075267	71	71	1.77285445474848e-06	4.93100913460276e-05
PWY.6545	Study	PFF_Colon	-0.719360605913766	0.137415298356277	71	71	1.84226938886432e-06	5.00762315700394e-05
PWY.6125	Study	PFF_Colon	0.494223137195087	0.0958844658488301	71	71	2.50464423691697e-06	6.65678779411709e-05
NONMEVIPP.PWY	Study	PFF_Colon	-0.366039109527935	0.0716992560741018	71	71	3.01827853917471e-06	6.82494706626026e-05
PWY.5121	Study	PFF_Colon	-0.258576851619407	0.0506565039778585	71	71	3.02613818693594e-06	6.82494706626026e-05
